ASSERTION	AAEDAAECAQAAAAAAAHCnQA==
ASSERTION	AAEDAAEEAAAAAAAAwFdAAQAAAAAAAHCnQA==
ASSERTION	AAECAAIBAAAAAAAAAPA/
ASSERTION	AAEDAAEBAQAAAAAAAIizQA==
ASSERTION	AAECAAMCAAAAAAAAwFhA
RUN	parabank.AccountStatementsTest	accountstatementstest	1759981929683	 	3.3.1
USER	Account Statements Test - Carga Simultánea	1	START	1759981931444	1759981931444
USER	Account Statements Test - 200 Usuarios Simultáneos	12	START	1759981931452	1759981931452
USER	Account Statements Test - 200 Usuarios Simultáneos	13	START	1759981931571	1759981931571
USER	Account Statements Test - Carga Simultánea	2	START	1759981931636	1759981931636
USER	Account Statements Test - 200 Usuarios Simultáneos	14	START	1759981931712	1759981931712
USER	Account Statements Test - Carga Simultánea	3	START	1759981931836	1759981931836
USER	Account Statements Test - 200 Usuarios Simultáneos	15	START	1759981931852	1759981931852
USER	Account Statements Test - 200 Usuarios Simultáneos	16	START	1759981932004	1759981932004
USER	Account Statements Test - Carga Simultánea	4	START	1759981932036	1759981932036
USER	Account Statements Test - 200 Usuarios Simultáneos	17	START	1759981932138	1759981932138
REQUEST	12		Login Request	1759981931539	1759981932099	OK	 
REQUEST	13		Login Request	1759981931573	1759981932099	OK	 
REQUEST	1		Login Request	1759981931532	1759981932104	OK	 
REQUEST	2		Login Request	1759981931637	1759981932091	OK	 
USER	Account Statements Test - Carga Simultánea	5	START	1759981932236	1759981932236
REQUEST	15		Login Request	1759981931853	1759981932259	OK	 
REQUEST	14		Login Request	1759981931713	1759981932259	OK	 
REQUEST	3		Login Request	1759981931838	1759981932276	OK	 
USER	Account Statements Test - 200 Usuarios Simultáneos	18	START	1759981932283	1759981932283
REQUEST	16		Login Request	1759981932006	1759981932400	OK	 
USER	Account Statements Test - 200 Usuarios Simultáneos	19	START	1759981932426	1759981932426
USER	Account Statements Test - Carga Simultánea	6	START	1759981932440	1759981932440
REQUEST	17		Login Request	1759981932139	1759981932483	OK	 
REQUEST	4		Login Request	1759981932037	1759981932500	OK	 
REQUEST	5		Login Request	1759981932238	1759981932526	OK	 
USER	Account Statements Test - 200 Usuarios Simultáneos	20	START	1759981932566	1759981932566
REQUEST	18		Login Request	1759981932285	1759981932634	OK	 
USER	Account Statements Test - Carga Simultánea	7	START	1759981932643	1759981932643
USER	Account Statements Test - 200 Usuarios Simultáneos	21	START	1759981932706	1759981932706
REQUEST	13		Get Accounts Request	1759981932621	1759981932764	OK	 
REQUEST	12		Get Accounts Request	1759981932621	1759981932761	OK	 
REQUEST	6		Login Request	1759981932442	1759981932792	OK	 
REQUEST	19		Login Request	1759981932427	1759981932811	OK	 
USER	Account Statements Test - Carga Simultánea	8	START	1759981932840	1759981932840
USER	Account Statements Test - 200 Usuarios Simultáneos	22	START	1759981932855	1759981932855
REQUEST	15		Get Accounts Request	1759981932779	1759981932933	OK	 
REQUEST	14		Get Accounts Request	1759981932779	1759981932939	OK	 
REQUEST	20		Login Request	1759981932567	1759981932956	OK	 
REQUEST	21		Login Request	1759981932707	1759981933041	OK	 
REQUEST	7		Login Request	1759981932646	1759981933041	OK	 
USER	Account Statements Test - 200 Usuarios Simultáneos	23	START	1759981933043	1759981933043
USER	Account Statements Test - Carga Simultánea	9	START	1759981933049	1759981933049
REQUEST	16		Get Accounts Request	1759981932918	1759981933086	OK	 
USER	Account Statements Test - 200 Usuarios Simultáneos	24	START	1759981933136	1759981933136
REQUEST	17		Get Accounts Request	1759981933043	1759981933174	OK	 
REQUEST	22		Login Request	1759981932857	1759981933204	OK	 
USER	Account Statements Test - Carga Simultánea	10	START	1759981933241	1759981933241
REQUEST	2		Get Accounts Request	1759981933113	1759981933244	OK	 
USER	Account Statements Test - 200 Usuarios Simultáneos	25	START	1759981933276	1759981933276
REQUEST	1		Get Accounts Request	1759981933134	1759981933278	OK	 
REQUEST	18		Get Accounts Request	1759981933156	1759981933300	OK	 
REQUEST	8		Login Request	1759981932842	1759981933387	OK	 
REQUEST	9		Login Request	1759981933050	1759981933401	OK	 
REQUEST	3		Get Accounts Request	1759981933288	1759981933420	OK	 
REQUEST	13		Get Account Statement Request	1759981933277	1759981933420	OK	 
REQUEST	12		Get Account Statement Request	1759981933277	1759981933423	OK	 
USER	Account Statements Test - 200 Usuarios Simultáneos	12	END	1759981931452	1759981933428
USER	Account Statements Test - 200 Usuarios Simultáneos	13	END	1759981931571	1759981933428
USER	Account Statements Test - 200 Usuarios Simultáneos	26	START	1759981933428	1759981933428
REQUEST	23		Login Request	1759981933045	1759981933434	OK	 
USER	Account Statements Test - Carga Simultánea	11	START	1759981933443	1759981933443
REQUEST	24		Login Request	1759981933137	1759981933477	OK	 
REQUEST	19		Get Accounts Request	1759981933335	1759981933490	OK	 
REQUEST	15		Get Account Statement Request	1759981933417	1759981933579	OK	 
REQUEST	25		Login Request	1759981933277	1759981933579	OK	 
USER	Account Statements Test - 200 Usuarios Simultáneos	15	END	1759981931852	1759981933581
REQUEST	10		Login Request	1759981933243	1759981933582	OK	 
USER	Account Statements Test - 200 Usuarios Simultáneos	32	START	1759981933584	1759981933584
REQUEST	14		Get Account Statement Request	1759981933444	1759981933602	OK	 
USER	Account Statements Test - 200 Usuarios Simultáneos	14	END	1759981931712	1759981933604
USER	Account Statements Test - Carga Simultánea	27	START	1759981933616	1759981933616
REQUEST	20		Get Accounts Request	1759981933476	1759981933629	OK	 
REQUEST	4		Get Accounts Request	1759981933507	1759981933642	OK	 
REQUEST	5		Get Accounts Request	1759981933538	1759981933669	OK	 
REQUEST	21		Get Accounts Request	1759981933557	1759981933698	OK	 
REQUEST	16		Get Account Statement Request	1759981933587	1759981933739	OK	 
USER	Account Statements Test - 200 Usuarios Simultáneos	16	END	1759981932004	1759981933741
USER	Account Statements Test - 200 Usuarios Simultáneos	33	START	1759981933755	1759981933755
REQUEST	17		Get Account Statement Request	1759981933632	1759981933763	OK	 
USER	Account Statements Test - 200 Usuarios Simultáneos	17	END	1759981932138	1759981933765
REQUEST	26		Login Request	1759981933429	1759981933779	OK	 
USER	Account Statements Test - Carga Simultánea	28	START	1759981933817	1759981933817
REQUEST	11		Login Request	1759981933444	1759981933843	OK	 
REQUEST	22		Get Accounts Request	1759981933725	1759981933862	OK	 
USER	Account Statements Test - 200 Usuarios Simultáneos	34	START	1759981933908	1759981933908
REQUEST	32		Login Request	1759981933585	1759981933926	OK	 
REQUEST	18		Get Account Statement Request	1759981933788	1759981933952	OK	 
USER	Account Statements Test - 200 Usuarios Simultáneos	18	END	1759981932283	1759981933953
REQUEST	27		Login Request	1759981933617	1759981933974	OK	 
REQUEST	6		Get Accounts Request	1759981933818	1759981933982	OK	 
USER	Account Statements Test - Carga Simultánea	29	START	1759981934016	1759981934016
REQUEST	33		Login Request	1759981933757	1759981934060	OK	 
USER	Account Statements Test - 200 Usuarios Simultáneos	35	START	1759981934078	1759981934078
REQUEST	23		Get Accounts Request	1759981933955	1759981934106	OK	 
REQUEST	19		Get Account Statement Request	1759981933987	1759981934137	OK	 
USER	Account Statements Test - 200 Usuarios Simultáneos	19	END	1759981932426	1759981934138
REQUEST	24		Get Accounts Request	1759981934001	1759981934146	OK	 
REQUEST	28		Login Request	1759981933818	1759981934172	OK	 
USER	Account Statements Test - Carga Simultánea	30	START	1759981934216	1759981934216
REQUEST	7		Get Accounts Request	1759981934064	1759981934221	OK	 
REQUEST	25		Get Accounts Request	1759981934094	1759981934223	OK	 
REQUEST	34		Login Request	1759981933909	1759981934246	OK	 
USER	Account Statements Test - 200 Usuarios Simultáneos	36	START	1759981934247	1759981934247
REQUEST	20		Get Account Statement Request	1759981934124	1759981934280	OK	 
USER	Account Statements Test - 200 Usuarios Simultáneos	20	END	1759981932566	1759981934282
REQUEST	29		Login Request	1759981934017	1759981934317	OK	 
REQUEST	21		Get Account Statement Request	1759981934217	1759981934360	OK	 
USER	Account Statements Test - 200 Usuarios Simultáneos	21	END	1759981932706	1759981934361
REQUEST	2		Get Account Statement Request	1759981934233	1759981934363	OK	 
USER	Account Statements Test - Carga Simultánea	2	END	1759981931636	1759981934364
USER	Account Statements Test - Carga Simultánea	31	START	1759981934417	1759981934417
USER	Account Statements Test - 200 Usuarios Simultáneos	37	START	1759981934416	1759981934416
REQUEST	1		Get Account Statement Request	1759981934278	1759981934421	OK	 
USER	Account Statements Test - Carga Simultánea	1	END	1759981931444	1759981934423
REQUEST	26		Get Accounts Request	1759981934297	1759981934439	OK	 
REQUEST	35		Login Request	1759981934079	1759981934469	OK	 
REQUEST	22		Get Account Statement Request	1759981934355	1759981934493	OK	 
USER	Account Statements Test - 200 Usuarios Simultáneos	22	END	1759981932855	1759981934495
REQUEST	9		Get Accounts Request	1759981934417	1759981934550	OK	 
REQUEST	30		Login Request	1759981934217	1759981934556	OK	 
USER	Account Statements Test - 200 Usuarios Simultáneos	43	START	1759981934556	1759981934556
REQUEST	3		Get Account Statement Request	1759981934433	1759981934565	OK	 
USER	Account Statements Test - Carga Simultánea	3	END	1759981931836	1759981934566
REQUEST	8		Get Accounts Request	1759981934417	1759981934575	OK	 
REQUEST	36		Login Request	1759981934248	1759981934587	OK	 
REQUEST	32		Get Accounts Request	1759981934449	1759981934592	OK	 
USER	Account Statements Test - Carga Simultánea	38	START	1759981934617	1759981934617
USER	Account Statements Test - 200 Usuarios Simultáneos	44	START	1759981934696	1759981934696
REQUEST	33		Get Accounts Request	1759981934574	1759981934703	OK	 
REQUEST	31		Login Request	1759981934417	1759981934707	OK	 
REQUEST	10		Get Accounts Request	1759981934588	1759981934729	OK	 
