ASSERTION	AAEDAAECAQAAAAAAAECfQA==
ASSERTION	AAEDAAEBAQAAAAAAAIizQA==
ASSERTION	AAECAAIBAAAAAAAAAPA/
RUN	parabank.LoginTest	logintest	1759980374664	 	3.3.1
USER	Login Test - Carga Normal	1	START	1759980376431	1759980376431
USER	Login Test - Carga Pico	12	START	1759980376438	1759980376438
USER	Login Test - Carga Pico	13	START	1759980376530	1759980376530
USER	Login Test - Carga Normal	2	START	1759980376624	1759980376624
USER	Login Test - Carga Pico	14	START	1759980376624	1759980376624
USER	Login Test - Carga Pico	15	START	1759980376732	1759980376732
USER	Login Test - Carga Pico	16	START	1759980376824	1759980376824
USER	Login Test - Carga Normal	3	START	1759980376824	1759980376824
USER	Login Test - Carga Pico	17	START	1759980376933	1759980376933
USER	Login Test - Carga Normal	4	START	1759980377027	1759980377027
USER	Login Test - Carga Pico	18	START	1759980377027	1759980377027
REQUEST	15		Login Request	1759980376733	1759980377044	OK	 
REQUEST	1		Login Request	1759980376481	1759980377032	OK	 
USER	Login Test - Carga Pico	15	END	1759980376732	1759980377059
USER	Login Test - Carga Normal	1	END	1759980376431	1759980377059
REQUEST	12		Login Request	1759980376481	1759980377072	OK	 
USER	Login Test - Carga Pico	12	END	1759980376438	1759980377074
REQUEST	13		Login Request	1759980376531	1759980377075	OK	 
USER	Login Test - Carga Pico	13	END	1759980376530	1759980377076
REQUEST	14		Login Request	1759980376625	1759980377096	OK	 
USER	Login Test - Carga Pico	14	END	1759980376624	1759980377098
USER	Login Test - Carga Pico	19	START	1759980377134	1759980377134
REQUEST	2		Login Request	1759980376625	1759980377143	OK	 
USER	Login Test - Carga Normal	2	END	1759980376624	1759980377144
REQUEST	16		Login Request	1759980376826	1759980377218	OK	 
USER	Login Test - Carga Pico	16	END	1759980376824	1759980377219
USER	Login Test - Carga Pico	20	START	1759980377228	1759980377228
USER	Login Test - Carga Normal	5	START	1759980377228	1759980377228
REQUEST	17		Login Request	1759980376934	1759980377319	OK	 
USER	Login Test - Carga Pico	17	END	1759980376933	1759980377321
USER	Login Test - Carga Pico	21	START	1759980377324	1759980377324
REQUEST	3		Login Request	1759980376826	1759980377331	OK	 
USER	Login Test - Carga Normal	3	END	1759980376824	1759980377332
REQUEST	4		Login Request	1759980377028	1759980377370	OK	 
USER	Login Test - Carga Normal	4	END	1759980377027	1759980377371
USER	Login Test - Carga Normal	6	START	1759980377430	1759980377430
USER	Login Test - Carga Pico	22	START	1759980377430	1759980377430
REQUEST	18		Login Request	1759980377028	1759980377522	OK	 
USER	Login Test - Carga Pico	23	START	1759980377521	1759980377521
USER	Login Test - Carga Pico	18	END	1759980377027	1759980377524
USER	Login Test - Carga Pico	24	START	1759980377604	1759980377604
REQUEST	19		Login Request	1759980377136	1759980377627	OK	 
REQUEST	5		Login Request	1759980377229	1759980377627	OK	 
USER	Login Test - Carga Pico	19	END	1759980377134	1759980377628
USER	Login Test - Carga Normal	5	END	1759980377228	1759980377628
USER	Login Test - Carga Normal	7	START	1759980377631	1759980377631
REQUEST	21		Login Request	1759980377325	1759980377667	OK	 
USER	Login Test - Carga Pico	21	END	1759980377324	1759980377669
USER	Login Test - Carga Pico	25	START	1759980377707	1759980377707
REQUEST	22		Login Request	1759980377431	1759980377725	OK	 
USER	Login Test - Carga Pico	22	END	1759980377430	1759980377726
REQUEST	20		Login Request	1759980377229	1759980377758	OK	 
USER	Login Test - Carga Pico	20	END	1759980377228	1759980377759
REQUEST	6		Login Request	1759980377431	1759980377772	OK	 
USER	Login Test - Carga Normal	6	END	1759980377430	1759980377773
USER	Login Test - Carga Pico	26	START	1759980377799	1759980377799
USER	Login Test - Carga Normal	8	START	1759980377831	1759980377831
REQUEST	23		Login Request	1759980377523	1759980377874	OK	 
USER	Login Test - Carga Pico	23	END	1759980377521	1759980377875
USER	Login Test - Carga Pico	27	START	1759980377892	1759980377892
REQUEST	24		Login Request	1759980377605	1759980377896	OK	 
USER	Login Test - Carga Pico	24	END	1759980377604	1759980377897
REQUEST	7		Login Request	1759980377632	1759980377964	OK	 
USER	Login Test - Carga Normal	7	END	1759980377631	1759980377966
USER	Login Test - Carga Pico	28	START	1759980377985	1759980377985
USER	Login Test - Carga Normal	9	START	1759980378032	1759980378032
USER	Login Test - Carga Pico	29	START	1759980378064	1759980378064
REQUEST	25		Login Request	1759980377709	1759980378109	OK	 
USER	Login Test - Carga Pico	25	END	1759980377707	1759980378111
REQUEST	26		Login Request	1759980377800	1759980378138	OK	 
USER	Login Test - Carga Pico	26	END	1759980377799	1759980378139
USER	Login Test - Carga Pico	30	START	1759980378156	1759980378156
REQUEST	8		Login Request	1759980377833	1759980378167	OK	 
USER	Login Test - Carga Normal	8	END	1759980377831	1759980378168
REQUEST	27		Login Request	1759980377894	1759980378186	OK	 
USER	Login Test - Carga Pico	27	END	1759980377892	1759980378188
USER	Login Test - Carga Normal	10	START	1759980378234	1759980378234
USER	Login Test - Carga Pico	31	START	1759980378249	1759980378249
REQUEST	9		Login Request	1759980378033	1759980378319	OK	 
USER	Login Test - Carga Normal	9	END	1759980378032	1759980378320
REQUEST	28		Login Request	1759980377986	1759980378325	OK	 
USER	Login Test - Carga Pico	28	END	1759980377985	1759980378326
USER	Login Test - Carga Pico	32	START	1759980378342	1759980378342
USER	Login Test - Carga Normal	11	START	1759980378435	1759980378435
USER	Login Test - Carga Pico	33	START	1759980378435	1759980378435
USER	Login Test - Carga Pico	40	START	1759980378511	1759980378511
REQUEST	30		Login Request	1759980378157	1759980378537	OK	 
USER	Login Test - Carga Pico	30	END	1759980378156	1759980378537
REQUEST	10		Login Request	1759980378236	1759980378570	OK	 
USER	Login Test - Carga Normal	10	END	1759980378234	1759980378571
USER	Login Test - Carga Normal	34	START	1759980378586	1759980378586
USER	Login Test - Carga Pico	41	START	1759980378601	1759980378601
REQUEST	31		Login Request	1759980378251	1759980378626	OK	 
USER	Login Test - Carga Pico	31	END	1759980378249	1759980378627
REQUEST	32		Login Request	1759980378343	1759980378677	OK	 
USER	Login Test - Carga Pico	32	END	1759980378342	1759980378678
USER	Login Test - Carga Pico	42	START	1759980378693	1759980378693
REQUEST	29		Login Request	1759980378065	1759980378706	OK	 
USER	Login Test - Carga Pico	29	END	1759980378064	1759980378707
REQUEST	33		Login Request	1759980378436	1759980378723	OK	 
USER	Login Test - Carga Pico	33	END	1759980378435	1759980378724
USER	Login Test - Carga Normal	35	START	1759980378744	1759980378744
USER	Login Test - Carga Pico	43	START	1759980378774	1759980378774
REQUEST	11		Login Request	1759980378436	1759980378782	OK	 
USER	Login Test - Carga Normal	11	END	1759980378435	1759980378783
USER	Login Test - Carga Pico	44	START	1759980378864	1759980378864
REQUEST	40		Login Request	1759980378512	1759980378900	OK	 
USER	Login Test - Carga Pico	40	END	1759980378511	1759980378901
USER	Login Test - Carga Normal	36	START	1759980378914	1759980378914
REQUEST	41		Login Request	1759980378602	1759980378944	OK	 
USER	Login Test - Carga Pico	41	END	1759980378601	1759980378946
USER	Login Test - Carga Pico	45	START	1759980378958	1759980378958
REQUEST	34		Login Request	1759980378587	1759980378978	OK	 
USER	Login Test - Carga Normal	34	END	1759980378586	1759980378979
REQUEST	42		Login Request	1759980378695	1759980379035	OK	 
USER	Login Test - Carga Pico	42	END	1759980378693	1759980379036
USER	Login Test - Carga Pico	46	START	1759980379054	1759980379054
REQUEST	35		Login Request	1759980378745	1759980379078	OK	 
USER	Login Test - Carga Normal	35	END	1759980378744	1759980379080
USER	Login Test - Carga Normal	37	START	1759980379084	1759980379084
REQUEST	43		Login Request	1759980378775	1759980379110	OK	 
USER	Login Test - Carga Pico	43	END	1759980378774	1759980379111
USER	Login Test - Carga Pico	47	START	1759980379147	1759980379147
REQUEST	44		Login Request	1759980378865	1759980379159	OK	 
USER	Login Test - Carga Pico	44	END	1759980378864	1759980379160
USER	Login Test - Carga Pico	48	START	1759980379241	1759980379241
USER	Login Test - Carga Normal	38	START	1759980379244	1759980379244
REQUEST	45		Login Request	1759980378959	1759980379249	OK	 
USER	Login Test - Carga Pico	45	END	1759980378958	1759980379250
REQUEST	36		Login Request	1759980378915	1759980379258	OK	 
USER	Login Test - Carga Normal	36	END	1759980378914	1759980379259
USER	Login Test - Carga Pico	49	START	1759980379334	1759980379334
REQUEST	46		Login Request	1759980379055	1759980379385	OK	 
USER	Login Test - Carga Pico	46	END	1759980379054	1759980379387
USER	Login Test - Carga Normal	39	START	1759980379414	1759980379414
USER	Login Test - Carga Pico	50	START	1759980379414	1759980379414
REQUEST	37		Login Request	1759980379085	1759980379422	OK	 
USER	Login Test - Carga Normal	37	END	1759980379084	1759980379423
REQUEST	47		Login Request	1759980379148	1759980379483	OK	 
USER	Login Test - Carga Pico	47	END	1759980379147	1759980379485
USER	Login Test - Carga Pico	57	START	1759980379519	1759980379519
REQUEST	48		Login Request	1759980379242	1759980379575	OK	 
USER	Login Test - Carga Pico	48	END	1759980379241	1759980379576
USER	Login Test - Carga Pico	58	START	1759980379598	1759980379598
USER	Login Test - Carga Normal	51	START	1759980379598	1759980379598
REQUEST	49		Login Request	1759980379335	1759980379672	OK	 
USER	Login Test - Carga Pico	49	END	1759980379334	1759980379673
USER	Login Test - Carga Pico	59	START	1759980379676	1759980379676
USER	Login Test - Carga Pico	60	START	1759980379769	1759980379769
USER	Login Test - Carga Normal	52	START	1759980379769	1759980379769
REQUEST	50		Login Request	1759980379415	1759980379771	OK	 
REQUEST	38		Login Request	1759980379245	1759980379771	OK	 
USER	Login Test - Carga Normal	38	END	1759980379244	1759980379772
USER	Login Test - Carga Pico	50	END	1759980379414	1759980379772
USER	Login Test - Carga Pico	61	START	1759980379845	1759980379845
USER	Login Test - Carga Pico	62	START	1759980379924	1759980379924
USER	Login Test - Carga Normal	53	START	1759980379937	1759980379937
REQUEST	58		Login Request	1759980379599	1759980379939	OK	 
USER	Login Test - Carga Pico	58	END	1759980379598	1759980379942
REQUEST	39		Login Request	1759980379415	1759980379965	OK	 
USER	Login Test - Carga Normal	39	END	1759980379414	1759980379966
REQUEST	57		Login Request	1759980379520	1759980380013	OK	 
USER	Login Test - Carga Pico	57	END	1759980379519	1759980380014
USER	Login Test - Carga Pico	63	START	1759980380015	1759980380015
REQUEST	59		Login Request	1759980379677	1759980380050	OK	 
USER	Login Test - Carga Pico	59	END	1759980379676	1759980380051
REQUEST	51		Login Request	1759980379599	1759980380091	OK	 
USER	Login Test - Carga Normal	51	END	1759980379598	1759980380093
USER	Login Test - Carga Pico	64	START	1759980380094	1759980380094
USER	Login Test - Carga Normal	54	START	1759980380094	1759980380094
REQUEST	52		Login Request	1759980379770	1759980380112	OK	 
REQUEST	60		Login Request	1759980379770	1759980380112	OK	 
USER	Login Test - Carga Normal	52	END	1759980379769	1759980380113
USER	Login Test - Carga Pico	60	END	1759980379769	1759980380113
USER	Login Test - Carga Pico	65	START	1759980380175	1759980380175
REQUEST	61		Login Request	1759980379846	1759980380218	OK	 
USER	Login Test - Carga Pico	61	END	1759980379845	1759980380219
USER	Login Test - Carga Normal	55	START	1759980380264	1759980380264
USER	Login Test - Carga Pico	66	START	1759980380264	1759980380264
REQUEST	62		Login Request	1759980379926	1759980380266	OK	 
USER	Login Test - Carga Pico	62	END	1759980379924	1759980380267
REQUEST	53		Login Request	1759980379938	1759980380281	OK	 
USER	Login Test - Carga Normal	53	END	1759980379937	1759980380282
USER	Login Test - Carga Pico	67	START	1759980380344	1759980380344
REQUEST	63		Login Request	1759980380016	1759980380397	OK	 
USER	Login Test - Carga Pico	63	END	1759980380015	1759980380398
REQUEST	64		Login Request	1759980380096	1759980380425	OK	 
REQUEST	54		Login Request	1759980380096	1759980380425	OK	 
USER	Login Test - Carga Pico	64	END	1759980380094	1759980380426
USER	Login Test - Carga Normal	54	END	1759980380094	1759980380426
USER	Login Test - Carga Pico	68	START	1759980380434	1759980380434
USER	Login Test - Carga Normal	56	START	1759980380434	1759980380434
USER	Login Test - Carga Pico	76	START	1759980380496	1759980380496
REQUEST	65		Login Request	1759980380177	1759980380533	OK	 
USER	Login Test - Carga Pico	65	END	1759980380175	1759980380534
REQUEST	66		Login Request	1759980380265	1759980380554	OK	 
USER	Login Test - Carga Pico	66	END	1759980380264	1759980380555
USER	Login Test - Carga Normal	69	START	1759980380558	1759980380558
USER	Login Test - Carga Pico	77	START	1759980380590	1759980380590
REQUEST	55		Login Request	1759980380265	1759980380604	OK	 
USER	Login Test - Carga Normal	55	END	1759980380264	1759980380606
USER	Login Test - Carga Pico	78	START	1759980380667	1759980380667
REQUEST	67		Login Request	1759980380345	1759980380704	OK	 
USER	Login Test - Carga Pico	67	END	1759980380344	1759980380705
USER	Login Test - Carga Normal	70	START	1759980380714	1759980380714
USER	Login Test - Carga Pico	79	START	1759980380745	1759980380745
REQUEST	68		Login Request	1759980380435	1759980380767	OK	 
USER	Login Test - Carga Pico	68	END	1759980380434	1759980380768
REQUEST	56		Login Request	1759980380435	1759980380817	OK	 
USER	Login Test - Carga Normal	56	END	1759980380434	1759980380818
USER	Login Test - Carga Pico	80	START	1759980380837	1759980380837
USER	Login Test - Carga Normal	71	START	1759980380853	1759980380853
REQUEST	76		Login Request	1759980380497	1759980380879	OK	 
USER	Login Test - Carga Pico	76	END	1759980380496	1759980380880
REQUEST	77		Login Request	1759980380591	1759980380887	OK	 
USER	Login Test - Carga Pico	77	END	1759980380590	1759980380889
USER	Login Test - Carga Pico	81	START	1759980380915	1759980380915
REQUEST	69		Login Request	1759980380559	1759980380944	OK	 
USER	Login Test - Carga Normal	69	END	1759980380558	1759980380945
USER	Login Test - Carga Normal	72	START	1759980380992	1759980380992
REQUEST	78		Login Request	1759980380668	1759980380995	OK	 
USER	Login Test - Carga Pico	82	START	1759980380994	1759980380994
USER	Login Test - Carga Pico	78	END	1759980380667	1759980380996
REQUEST	70		Login Request	1759980380715	1759980381011	OK	 
USER	Login Test - Carga Normal	70	END	1759980380714	1759980381012
USER	Login Test - Carga Pico	83	START	1759980381084	1759980381084
REQUEST	79		Login Request	1759980380746	1759980381097	OK	 
USER	Login Test - Carga Pico	79	END	1759980380745	1759980381098
USER	Login Test - Carga Normal	73	START	1759980381134	1759980381134
REQUEST	80		Login Request	1759980380839	1759980381140	OK	 
USER	Login Test - Carga Pico	80	END	1759980380837	1759980381141
USER	Login Test - Carga Pico	84	START	1759980381164	1759980381164
REQUEST	71		Login Request	1759980380854	1759980381205	OK	 
USER	Login Test - Carga Normal	71	END	1759980380853	1759980381206
REQUEST	81		Login Request	1759980380916	1759980381214	OK	 
USER	Login Test - Carga Pico	81	END	1759980380915	1759980381215
USER	Login Test - Carga Pico	85	START	1759980381255	1759980381255
USER	Login Test - Carga Normal	74	START	1759980381274	1759980381274
REQUEST	72		Login Request	1759980380993	1759980381299	OK	 
USER	Login Test - Carga Normal	72	END	1759980380992	1759980381300
USER	Login Test - Carga Pico	86	START	1759980381334	1759980381334
REQUEST	82		Login Request	1759980380995	1759980381369	OK	 
USER	Login Test - Carga Pico	82	END	1759980380994	1759980381370
USER	Login Test - Carga Pico	87	START	1759980381414	1759980381414
USER	Login Test - Carga Normal	75	START	1759980381414	1759980381414
REQUEST	83		Login Request	1759980381085	1759980381478	OK	 
USER	Login Test - Carga Pico	83	END	1759980381084	1759980381479
USER	Login Test - Carga Pico	95	START	1759980381486	1759980381486
REQUEST	84		Login Request	1759980381165	1759980381546	OK	 
USER	Login Test - Carga Pico	84	END	1759980381164	1759980381547
REQUEST	73		Login Request	1759980381135	1759980381559	OK	 
USER	Login Test - Carga Normal	73	END	1759980381134	1759980381562
USER	Login Test - Carga Normal	88	START	1759980381564	1759980381564
USER	Login Test - Carga Pico	96	START	1759980381564	1759980381564
REQUEST	85		Login Request	1759980381256	1759980381645	OK	 
USER	Login Test - Carga Pico	85	END	1759980381255	1759980381647
REQUEST	74		Login Request	1759980381275	1759980381671	OK	 
USER	Login Test - Carga Pico	97	START	1759980381673	1759980381673
USER	Login Test - Carga Normal	74	END	1759980381274	1759980381673
REQUEST	86		Login Request	1759980381335	1759980381683	OK	 
USER	Login Test - Carga Pico	86	END	1759980381334	1759980381685
USER	Login Test - Carga Pico	98	START	1759980381746	1759980381746
USER	Login Test - Carga Normal	89	START	1759980381746	1759980381746
REQUEST	75		Login Request	1759980381416	1759980381751	OK	 
USER	Login Test - Carga Normal	75	END	1759980381414	1759980381752
REQUEST	87		Login Request	1759980381416	1759980381762	OK	 
USER	Login Test - Carga Pico	87	END	1759980381414	1759980381763
USER	Login Test - Carga Pico	99	START	1759980381799	1759980381799
USER	Login Test - Carga Normal	90	START	1759980381860	1759980381860
USER	Login Test - Carga Pico	100	START	1759980381876	1759980381876
REQUEST	95		Login Request	1759980381487	1759980381894	OK	 
USER	Login Test - Carga Pico	95	END	1759980381486	1759980381896
REQUEST	88		Login Request	1759980381566	1759980381929	OK	 
USER	Login Test - Carga Normal	88	END	1759980381564	1759980381931
REQUEST	96		Login Request	1759980381566	1759980381931	OK	 
USER	Login Test - Carga Pico	96	END	1759980381564	1759980381933
USER	Login Test - Carga Pico	101	START	1759980381954	1759980381954
REQUEST	97		Login Request	1759980381674	1759980381981	OK	 
USER	Login Test - Carga Pico	97	END	1759980381673	1759980381982
USER	Login Test - Carga Normal	91	START	1759980381984	1759980381984
USER	Login Test - Carga Pico	102	START	1759980382028	1759980382028
REQUEST	89		Login Request	1759980381747	1759980382079	OK	 
USER	Login Test - Carga Normal	89	END	1759980381746	1759980382080
REQUEST	98		Login Request	1759980381747	1759980382082	OK	 
USER	Login Test - Carga Pico	98	END	1759980381746	1759980382083
USER	Login Test - Carga Pico	103	START	1759980382106	1759980382106
USER	Login Test - Carga Normal	92	START	1759980382124	1759980382124
REQUEST	99		Login Request	1759980381800	1759980382143	OK	 
USER	Login Test - Carga Pico	99	END	1759980381799	1759980382145
USER	Login Test - Carga Pico	104	START	1759980382184	1759980382184
REQUEST	90		Login Request	1759980381861	1759980382217	OK	 
USER	Login Test - Carga Normal	90	END	1759980381860	1759980382218
REQUEST	100		Login Request	1759980381877	1759980382219	OK	 
USER	Login Test - Carga Pico	100	END	1759980381876	1759980382220
USER	Login Test - Carga Pico	105	START	1759980382263	1759980382263
USER	Login Test - Carga Normal	93	START	1759980382279	1759980382279
REQUEST	91		Login Request	1759980381985	1759980382316	OK	 
USER	Login Test - Carga Normal	91	END	1759980381984	1759980382317
USER	Login Test - Carga Pico	106	START	1759980382339	1759980382339
REQUEST	101		Login Request	1759980381956	1759980382343	OK	 
USER	Login Test - Carga Pico	101	END	1759980381954	1759980382345
REQUEST	102		Login Request	1759980382029	1759980382369	OK	 
USER	Login Test - Carga Pico	102	END	1759980382028	1759980382370
REQUEST	92		Login Request	1759980382126	1759980382415	OK	 
USER	Login Test - Carga Normal	92	END	1759980382124	1759980382416
USER	Login Test - Carga Pico	107	START	1759980382416	1759980382416
USER	Login Test - Carga Normal	94	START	1759980382416	1759980382416
REQUEST	103		Login Request	1759980382107	1759980382440	OK	 
USER	Login Test - Carga Pico	103	END	1759980382106	1759980382441
USER	Login Test - Carga Pico	115	START	1759980382494	1759980382494
USER	Login Test - Carga Normal	108	START	1759980382554	1759980382554
REQUEST	104		Login Request	1759980382186	1759980382568	OK	 
USER	Login Test - Carga Pico	116	START	1759980382568	1759980382568
USER	Login Test - Carga Pico	104	END	1759980382184	1759980382570
REQUEST	93		Login Request	1759980382280	1759980382574	OK	 
USER	Login Test - Carga Normal	93	END	1759980382279	1759980382576
REQUEST	105		Login Request	1759980382264	1759980382618	OK	 
USER	Login Test - Carga Pico	105	END	1759980382263	1759980382619
USER	Login Test - Carga Pico	117	START	1759980382644	1759980382644
REQUEST	106		Login Request	1759980382340	1759980382681	OK	 
USER	Login Test - Carga Pico	106	END	1759980382339	1759980382682
USER	Login Test - Carga Normal	109	START	1759980382705	1759980382705
USER	Login Test - Carga Pico	118	START	1759980382726	1759980382726
REQUEST	107		Login Request	1759980382417	1759980382750	OK	 
USER	Login Test - Carga Pico	107	END	1759980382416	1759980382752
REQUEST	94		Login Request	1759980382417	1759980382788	OK	 
USER	Login Test - Carga Normal	94	END	1759980382416	1759980382789
USER	Login Test - Carga Pico	119	START	1759980382796	1759980382796
REQUEST	115		Login Request	1759980382495	1759980382839	OK	 
USER	Login Test - Carga Pico	115	END	1759980382494	1759980382840
REQUEST	108		Login Request	1759980382555	1759980382843	OK	 
USER	Login Test - Carga Normal	108	END	1759980382554	1759980382844
USER	Login Test - Carga Normal	110	START	1759980382844	1759980382844
USER	Login Test - Carga Pico	120	START	1759980382874	1759980382874
REQUEST	116		Login Request	1759980382570	1759980382902	OK	 
USER	Login Test - Carga Pico	116	END	1759980382568	1759980382903
USER	Login Test - Carga Pico	121	START	1759980382964	1759980382964
REQUEST	117		Login Request	1759980382645	1759980382984	OK	 
USER	Login Test - Carga Pico	117	END	1759980382644	1759980382985
USER	Login Test - Carga Normal	111	START	1759980382995	1759980382995
USER	Login Test - Carga Pico	122	START	1759980383027	1759980383027
REQUEST	109		Login Request	1759980382706	1759980383089	OK	 
USER	Login Test - Carga Normal	109	END	1759980382705	1759980383091
USER	Login Test - Carga Pico	123	START	1759980383104	1759980383104
REQUEST	118		Login Request	1759980382727	1759980383115	OK	 
USER	Login Test - Carga Pico	118	END	1759980382726	1759980383116
USER	Login Test - Carga Normal	112	START	1759980383135	1759980383135
USER	Login Test - Carga Pico	124	START	1759980383184	1759980383184
REQUEST	119		Login Request	1759980382797	1759980383186	OK	 
USER	Login Test - Carga Pico	119	END	1759980382796	1759980383187
REQUEST	120		Login Request	1759980382875	1759980383206	OK	 
USER	Login Test - Carga Pico	120	END	1759980382874	1759980383207
USER	Login Test - Carga Pico	125	START	1759980383274	1759980383274
USER	Login Test - Carga Normal	113	START	1759980383274	1759980383274
REQUEST	121		Login Request	1759980382965	1759980383309	OK	 
USER	Login Test - Carga Pico	121	END	1759980382964	1759980383310
REQUEST	122		Login Request	1759980383028	1759980383330	OK	 
USER	Login Test - Carga Pico	122	END	1759980383027	1759980383332
USER	Login Test - Carga Pico	126	START	1759980383337	1759980383337
REQUEST	111		Login Request	1759980382996	1759980383389	OK	 
USER	Login Test - Carga Normal	111	END	1759980382995	1759980383390
USER	Login Test - Carga Normal	114	START	1759980383414	1759980383414
USER	Login Test - Carga Pico	127	START	1759980383414	1759980383414
