ASSERTION	AAEEAgAAAAAAAMBiQA==
ASSERTION	AAECAAMCAAAAAAAAwFdA
ASSERTION	AAECAAIBAAAAAAAAABRA
RUN	parabank.TransferTest	transfertest	1760280492913	 	3.3.1
USER	Transferencias simultaneas válidas	2	START	1760280494502	1760280494502
USER	Transferencias simultaneas válidas	1	START	1760280494502	1760280494502
USER	Transferencias simultaneas válidas	3	START	1760280494527	1760280494527
USER	Transferencias simultaneas válidas	4	START	1760280494527	1760280494527
USER	Transferencias simultaneas válidas	6	START	1760280494543	1760280494543
USER	Transferencias simultaneas válidas	5	START	1760280494543	1760280494543
USER	Transferencias simultaneas válidas	7	START	1760280494557	1760280494557
USER	Transferencias simultaneas válidas	8	START	1760280494557	1760280494557
USER	Transferencias simultaneas válidas	13	START	1760280494563	1760280494563
USER	Transferencias simultaneas válidas	11	START	1760280494562	1760280494562
USER	Transferencias simultaneas válidas	10	START	1760280494562	1760280494562
USER	Transferencias simultaneas válidas	9	START	1760280494562	1760280494562
USER	Transferencias simultaneas válidas	12	START	1760280494562	1760280494562
USER	Transferencias simultaneas válidas	14	START	1760280494562	1760280494562
USER	Transferencias simultaneas válidas	15	START	1760280494573	1760280494573
USER	Transferencias simultaneas válidas	16	START	1760280494584	1760280494584
USER	Transferencias simultaneas válidas	17	START	1760280494595	1760280494595
USER	Transferencias simultaneas válidas	18	START	1760280494632	1760280494632
USER	Transferencias simultaneas válidas	19	START	1760280494632	1760280494632
USER	Transferencias simultaneas válidas	20	START	1760280494677	1760280494677
USER	Transferencias simultaneas válidas	21	START	1760280494678	1760280494678
USER	Transferencias simultaneas válidas	22	START	1760280494680	1760280494680
USER	Transferencias simultaneas válidas	24	START	1760280494682	1760280494682
USER	Transferencias simultaneas válidas	23	START	1760280494681	1760280494681
USER	Transferencias simultaneas válidas	25	START	1760280494683	1760280494683
USER	Transferencias simultaneas válidas	26	START	1760280494700	1760280494700
USER	Transferencias simultaneas válidas	27	START	1760280494700	1760280494700
USER	Transferencias simultaneas válidas	28	START	1760280494700	1760280494700
USER	Transferencias simultaneas válidas	29	START	1760280494706	1760280494706
USER	Transferencias simultaneas válidas	30	START	1760280494732	1760280494732
USER	Transferencias simultaneas válidas	32	START	1760280494732	1760280494732
USER	Transferencias simultaneas válidas	31	START	1760280494732	1760280494732
USER	Transferencias simultaneas válidas	33	START	1760280494752	1760280494752
USER	Transferencias simultaneas válidas	34	START	1760280494752	1760280494752
USER	Transferencias simultaneas válidas	35	START	1760280494764	1760280494764
USER	Transferencias simultaneas válidas	37	START	1760280494795	1760280494795
USER	Transferencias simultaneas válidas	38	START	1760280494795	1760280494795
USER	Transferencias simultaneas válidas	36	START	1760280494795	1760280494795
USER	Transferencias simultaneas válidas	40	START	1760280494811	1760280494811
USER	Transferencias simultaneas válidas	39	START	1760280494810	1760280494810
USER	Transferencias simultaneas válidas	41	START	1760280494810	1760280494810
USER	Transferencias simultaneas válidas	42	START	1760280494826	1760280494826
USER	Transferencias simultaneas válidas	44	START	1760280494842	1760280494842
USER	Transferencias simultaneas válidas	45	START	1760280494842	1760280494842
USER	Transferencias simultaneas válidas	43	START	1760280494842	1760280494842
USER	Transferencias simultaneas válidas	46	START	1760280494842	1760280494842
USER	Transferencias simultaneas válidas	47	START	1760280494858	1760280494858
USER	Transferencias simultaneas válidas	48	START	1760280494858	1760280494858
USER	Transferencias simultaneas válidas	50	START	1760280494862	1760280494862
USER	Transferencias simultaneas válidas	49	START	1760280494862	1760280494862
USER	Transferencias simultaneas válidas	51	START	1760280494873	1760280494873
USER	Transferencias simultaneas válidas	52	START	1760280494889	1760280494889
USER	Transferencias simultaneas válidas	53	START	1760280494904	1760280494904
USER	Transferencias simultaneas válidas	54	START	1760280494904	1760280494904
USER	Transferencias simultaneas válidas	56	START	1760280494921	1760280494921
USER	Transferencias simultaneas válidas	55	START	1760280494921	1760280494921
USER	Transferencias simultaneas válidas	57	START	1760280494937	1760280494937
USER	Transferencias simultaneas válidas	58	START	1760280494952	1760280494952
USER	Transferencias simultaneas válidas	59	START	1760280494952	1760280494952
